hr,non_restaurant,restaurant
0,0.012182204895817946,0.009863013876143396
1,0.007333558721612484,0.005722027473247783
2,0.004681162012425781,0.003317799729902334
3,0.0038781316458006494,0.0019984117237850734
4,0.0059243629610604065,0.0014753215697801618
5,0.012347658125967316,0.0023504501015835897
6,0.02180421737846533,0.005956035805974588
7,0.03441576122093111,0.012407517034445984
8,0.043585282136345105,0.01957678939703601
9,0.05008521112143577,0.027245286735258716
10,0.05850585984703294,0.04638580771318245
11,0.06596885661121726,0.08426794483234658
12,0.07125022661812108,0.09617580494223008
13,0.07029975061513534,0.06973783075679396
14,0.06928279545011741,0.05099351493474224
15,0.06961437888762625,0.045461329016147765
16,0.07260052536139412,0.0593516187394132
17,0.07591080852335971,0.09122102675556464
18,0.07029338702936036,0.11228857989662167
19,0.05791905600131496,0.10081342462717947
20,0.045192290637689515,0.07051587876662166
21,0.033779944225201614,0.04220033057051599
22,0.024732008416722257,0.024864492221355686
23,0.01841256155584527,0.01580976278012698
