word,count_hi,count_lo,log_odds
slowest,7,139,-4.793705592465881
mcdonald's,14,158,-4.292358712654433
mcdonalds,13,139,-4.234089804530458
kfc,12,79,-3.748581988748758
disgusting,22,99,-3.4011806815953545
worst,98,409,-3.3525420211001773
nasty,19,67,-3.155280143158529
airport,33,98,-3.0002640370548423
thru,196,572,-2.9991866995131646
horrible,127,355,-2.9544051784688268
awful,52,127,-2.8132430619039095
gross,38,92,-2.800542558560023
terrible,126,257,-2.6402772099994385
somewhere,38,75,-2.598676405693098
slow,297,570,-2.581800434687019
bell,36,68,-2.554693303489448
rude,134,247,-2.539658679262966
management,57,101,-2.4960345142742657
drive,448,777,-2.481208347972551
sucks,85,145,-2.4607640369912422
poor,74,126,-2.4582036844586943
dirty,106,172,-2.411967471572285
subway,49,79,-2.401508340782148
manager,97,145,-2.3301438545741773
nuggets,42,61,-2.297438980887942
employee,38,50,-2.199768698131093
bother,44,56,-2.167893489600643
waste,60,76,-2.164436269216786
coupons,45,54,-2.1101965002797884
window,64,72,-2.0475768827891683
machine,51,57,-2.0407040035014052
waited,89,99,-2.036865227194239
avoid,180,197,-2.0212747109651223
crap,44,48,-2.0166625198767196
minutes,313,315,-1.9378539392150715
attitude,56,56,-1.9315047115364132
cent,45,38,-1.7664249611769645
bad,580,485,-1.752962578584996
correct,47,39,-1.7491831547424583
coke,62,51,-1.7396137037263086
shit,63,51,-1.7238653467581697
asked,117,93,-1.7041148693407528
employees,196,153,-1.6852535852120543
bag,58,45,-1.6826086641197886
paid,50,38,-1.6632407249417334
cheeseburger,48,36,-1.6506023260700102
elsewhere,47,35,-1.6438226390846316
leaving,50,37,-1.6372652385384718
bathroom,71,52,-1.6251305060724803
forever,82,60,-1.6235379679131254
health,59,43,-1.6213497832325743
hate,59,42,-1.5983602650078756
shakes,67,47,-1.5831980172681979
floor,48,33,-1.5660449380419479
ridiculous,56,38,-1.5520150898315102
workers,76,51,-1.5389430082641562
play,99,66,-1.5310271449392872
mins,117,78,-1.5302679395377696
king,92,61,-1.5260396034282477
delivery,219,144,-1.5146109076046264
