CustomerID,Recency,Frequency,Monetary,rfm_code,rfm_label,cluster,cluster_name,dbscan,R_score,F_score,M_score,RFMScore,Total_score,segment
12346,326,1,77183.6,101,High-value lost,1,Gold,-1,4,4,1,441,9,Big spenders
12347,3,7,4310.0,011,Champions,0,Platinum,0,1,1,1,111,3,Champions
12348,76,4,1797.24,000,New / promising,1,Gold,0,3,2,1,321,6,Big spenders
12349,19,1,1757.55,000,New / promising,1,Gold,1,2,4,1,241,7,Big spenders
12350,311,1,334.4,100,Lost low value,2,Silver,1,4,4,3,443,11,Lost
12352,37,8,2506.04,011,Champions,0,Platinum,0,2,1,1,211,4,Loyal
12353,205,1,89.0,100,Lost low value,2,Silver,1,4,4,4,444,12,Lost
12354,233,1,1079.4,100,Lost low value,2,Silver,1,4,4,2,442,10,At risk
12355,215,1,459.4,100,Lost low value,2,Silver,1,4,4,3,443,11,Lost
12356,23,3,2811.43,001,Big new spenders,1,Gold,0,2,2,1,221,5,Big spenders
12357,34,1,6207.67,001,Big new spenders,1,Gold,-1,2,4,1,241,7,Big spenders
12358,2,2,1168.06,000,New / promising,1,Gold,0,1,3,2,132,6,Promising
12359,58,4,6310.03,001,Big new spenders,1,Gold,0,3,2,1,321,6,Big spenders
12360,53,3,2662.06,001,Big new spenders,1,Gold,0,3,2,1,321,6,Big spenders
12361,288,1,189.9,100,Lost low value,2,Silver,1,4,4,4,444,12,Lost
12362,4,10,5226.23,011,Champions,0,Platinum,0,1,1,1,111,3,Champions
12363,110,2,552.0,100,Lost low value,2,Silver,0,3,3,3,333,9,Regular
12364,8,4,1313.1,000,New / promising,1,Gold,0,1,2,2,122,5,Promising
12365,292,2,641.38,100,Lost low value,2,Silver,0,4,3,3,433,10,Lost
12367,5,1,168.9,000,New / promising,1,Gold,1,1,4,4,144,9,Promising
12370,52,4,3541.94,001,Big new spenders,1,Gold,0,3,2,1,321,6,Big spenders
12371,45,2,1887.96,000,New / promising,1,Gold,0,2,3,1,231,6,Big spenders
12372,72,3,1298.04,000,New / promising,1,Gold,0,3,2,2,322,7,At risk
12373,312,1,364.6,100,Lost low value,2,Silver,1,4,4,3,443,11,Lost
12374,26,1,742.9300000000001,000,New / promising,1,Gold,1,2,4,2,242,8,Regular
12375,11,2,457.5,000,New / promising,1,Gold,0,1,3,3,133,7,Promising
12377,316,2,1628.12,100,Lost low value,2,Silver,0,4,3,2,432,9,At risk
12378,130,1,4008.62,101,High-value lost,1,Gold,1,3,4,1,341,8,Big spenders
12379,82,2,852.24,000,New / promising,1,Gold,0,3,3,2,332,8,At risk
12380,22,4,2724.81,001,Big new spenders,1,Gold,0,2,2,1,221,5,Big spenders
12381,5,5,1845.31,010,Frequent low spenders,0,Platinum,0,1,2,1,121,4,Big spenders
12383,185,5,1850.56,110,Lapsed regulars,1,Gold,0,4,2,1,421,7,Big spenders
12384,29,2,585.27,000,New / promising,1,Gold,0,2,3,3,233,8,Regular
12386,338,2,401.9,100,Lost low value,2,Silver,0,4,3,3,433,10,Lost
12388,16,6,2780.66,011,Champions,0,Platinum,0,1,1,1,111,3,Champions
12390,80,1,549.84,000,New / promising,2,Silver,1,3,4,3,343,10,Regular
12391,22,1,439.66,000,New / promising,1,Gold,1,2,4,3,243,9,Regular
12393,73,4,1582.6000000000001,000,New / promising,1,Gold,0,3,2,2,322,7,At risk
12394,64,2,1272.48,000,New / promising,1,Gold,0,3,3,2,332,8,At risk
12395,20,12,3018.63,011,Champions,0,Platinum,0,2,1,1,211,4,Loyal
12397,36,2,2409.9,001,Big new spenders,1,Gold,0,2,3,1,231,6,Big spenders
12398,46,1,1635.6599999999999,000,New / promising,1,Gold,1,2,4,2,242,8,Regular
12399,120,4,1108.65,100,Lost low value,1,Gold,0,3,2,2,322,7,At risk
12401,304,1,84.3,100,Lost low value,2,Silver,1,4,4,4,444,12,Lost
12402,324,1,225.6,100,Lost low value,2,Silver,1,4,4,4,444,12,Lost
12403,50,1,427.7,000,New / promising,2,Silver,1,2,4,3,243,9,Regular
12405,149,1,1710.39,100,Lost low value,2,Silver,1,4,4,1,441,9,Big spenders
12406,23,2,3415.3,001,Big new spenders,1,Gold,0,2,3,1,231,6,Big spenders
12407,50,5,1708.1200000000001,010,Frequent low spenders,1,Gold,0,2,2,1,221,5,Big spenders
12408,33,5,2888.55,011,Champions,1,Gold,0,2,2,1,221,5,Big spenders
12409,79,3,11072.67,001,Big new spenders,1,Gold,-1,3,2,1,321,6,Big spenders
12410,309,2,693.3299999999999,100,Lost low value,2,Silver,0,4,3,2,432,9,At risk
12412,75,3,1226.88,000,New / promising,1,Gold,0,3,2,2,322,7,At risk
12413,67,3,758.1,000,New / promising,1,Gold,0,3,2,2,322,7,At risk
12414,218,3,562.41,100,Lost low value,2,Silver,0,4,2,3,423,9,At risk
12415,25,21,124914.53,011,Champions,0,Platinum,-1,2,1,1,211,4,Loyal
12417,4,9,3649.1,011,Champions,0,Platinum,0,1,1,1,111,3,Champions
12418,113,1,668.58,100,Lost low value,2,Silver,1,3,4,2,342,9,At risk
12420,64,1,600.39,000,New / promising,2,Silver,1,3,4,3,343,10,Regular
12421,16,4,807.04,000,New / promising,1,Gold,0,1,2,2,122,5,Promising
12422,96,3,803.5600000000001,100,Lost low value,1,Gold,0,3,2,2,322,7,At risk
12423,1,8,1859.31,010,Frequent low spenders,0,Platinum,0,1,1,1,111,3,Champions
12424,163,2,1760.96,100,Lost low value,1,Gold,0,4,3,1,431,8,Big spenders
12425,79,1,777.2,000,New / promising,2,Silver,1,3,4,2,342,9,At risk
12426,195,1,582.73,100,Lost low value,2,Silver,1,4,4,3,443,11,Lost
12427,22,3,825.8,000,New / promising,1,Gold,0,2,2,2,222,6,Regular
12428,26,9,7956.46,011,Champions,0,Platinum,0,2,1,1,211,4,Loyal
12429,10,4,3750.4,001,Big new spenders,0,Platinum,0,1,2,1,121,4,Big spenders
12430,44,1,256.4,000,New / promising,2,Silver,1,2,4,4,244,10,Regular
12431,36,15,6419.95,011,Champions,0,Platinum,0,2,1,1,211,4,Loyal
12432,43,5,5059.32,011,Champions,0,Platinum,0,2,2,1,221,5,Big spenders
12433,1,7,13375.87,011,Champions,0,Platinum,-1,1,1,1,111,3,Champions
12434,85,2,806.14,000,New / promising,1,Gold,0,3,3,2,332,8,At risk
12435,80,2,7829.89,001,Big new spenders,1,Gold,0,3,3,1,331,7,Big spenders
12436,100,1,509.01,100,Lost low value,2,Silver,1,3,4,3,343,10,Regular
12437,2,18,4951.41,011,Champions,0,Platinum,0,1,1,1,111,3,Champions
12438,15,2,2906.85,001,Big new spenders,1,Gold,0,1,3,1,131,5,Big spenders
12441,367,1,173.55,100,Lost low value,2,Silver,1,4,4,4,444,12,Lost
12442,4,1,172.06,000,New / promising,1,Gold,1,1,4,4,144,9,Promising
12444,22,5,5005.46,011,Champions,0,Platinum,0,2,2,1,221,5,Big spenders
12445,23,1,133.4,000,New / promising,2,Silver,1,2,4,4,244,10,Regular
12446,58,1,1002.3100000000001,000,New / promising,1,Gold,1,3,4,2,342,9,At risk
12447,244,1,476.49,100,Lost low value,2,Silver,1,4,4,3,443,11,Lost
12448,45,1,449.45,000,New / promising,2,Silver,1,2,4,3,243,9,Regular
12449,23,4,4067.29,001,Big new spenders,1,Gold,0,2,2,1,221,5,Big spenders
12450,157,2,197.88,100,Lost low value,2,Silver,0,4,3,4,434,11,Lost
12451,11,5,9035.52,011,Champions,0,Platinum,0,1,2,1,121,4,Big spenders
12452,17,2,430.57,000,New / promising,1,Gold,0,1,3,3,133,7,Promising
12453,135,1,707.09,100,Lost low value,2,Silver,1,3,4,2,342,9,At risk
12454,57,1,3528.34,001,Big new spenders,1,Gold,1,3,4,1,341,8,Big spenders
12455,74,6,2466.86,011,Champions,1,Gold,0,3,1,1,311,5,Loyal
12456,45,3,3181.04,001,Big new spenders,1,Gold,0,2,2,1,221,5,Big spenders
12457,67,7,2363.23,011,Champions,1,Gold,0,3,1,1,311,5,Loyal
12458,72,2,947.4,000,New / promising,1,Gold,0,3,3,2,332,8,At risk
12461,95,2,826.88,100,Lost low value,2,Silver,0,3,3,2,332,8,At risk
12462,19,2,1189.59,000,New / promising,1,Gold,0,2,3,2,232,7,Regular
12463,54,4,1344.78,000,New / promising,1,Gold,0,3,2,2,322,7,At risk
12464,11,8,1212.05,010,Frequent low spenders,0,Platinum,0,1,1,2,112,4,Loyal
12465,18,2,742.1899999999999,000,New / promising,1,Gold,0,1,3,2,132,6,Promising
12468,188,2,729.5400000000001,100,Lost low value,2,Silver,0,4,3,2,432,9,At risk
12471,3,30,19788.65,011,Champions,0,Platinum,0,1,1,1,111,3,Champions
12472,33,7,6572.11,011,Champions,0,Platinum,0,2,1,1,211,4,Loyal
