hr,Mon,Tue,Wed,Thu,Fri,Sat,Sun
0,18183,14811,15459,16819,22275,45178,48585
1,10734,8598,8672,9964,13396,27422,28366
2,6903,5674,5356,5994,8250,16346,16775
3,5913,4938,4794,5138,6146,10032,10188
4,8851,8319,7926,8277,8505,7866,7674
5,17789,18659,18018,17856,18584,12023,10034
6,32086,34153,34358,33933,35976,25913,19777
7,50826,54578,55288,55341,60894,52520,39638
8,64566,64742,65423,66397,75336,92955,73780
9,74633,68983,69854,70734,83764,137956,116295
10,100835,93270,94175,96406,114929,188109,173936
11,153431,150753,153833,157921,185592,242279,223773
12,172733,167687,171656,175386,212310,269189,247899
13,136793,125043,128683,131393,165069,253572,224462
14,114968,103390,105932,108575,137433,223050,190577
15,110993,103969,105793,108830,136243,199709,169607
16,131919,132402,135020,140507,171845,206216,167919
17,173544,186182,190669,196563,236937,238252,183252
18,187174,205099,213314,220760,280831,265887,185938
19,155203,171099,179620,190745,263888,247914,152876
20,106082,115970,122492,135493,203921,196279,106545
21,63952,68964,70504,84618,142212,142988,67043
22,38227,40086,40139,53032,97742,101057,42636
23,24116,25267,27383,35523,68541,72482,29083
