bigram,neg_count,pos_count,log_odds_neg_vs_pos
never came,18,0,3.995692873891696
terrible service,10,0,3.4491491675236263
server didn't,9,0,3.3538389877193016
gen restaurant,8,0,3.2484784720614748
speak manager,8,0,3.2484784720614748
another minutes,8,0,3.2484784720614748
open tables,8,0,3.2484784720614748
told wait,11,1,2.84301336395331
won't back,8,1,2.5553312915015294
took long,7,1,2.4375482558451464
hot tea,8,2,2.1498661833933657
assistant manager,7,2,2.0320831477369827
raw meat,7,2,2.0320831477369827
didn't even,18,7,1.9162513322118615
table next,6,2,1.89855175511246
food okay,6,2,1.89855175511246
minutes later,8,3,1.8621841109415858
another server,7,3,1.7444010752852028
took forever,7,3,1.7444010752852028
waiting minutes,7,3,1.7444010752852028
took minutes,6,3,1.61086968266068
service slow,7,4,1.5212575239709922
didn't know,10,6,1.5032390184683146
server came,5,3,1.456719002833422
drink order,5,3,1.456719002833422
came back,18,12,1.4307435164301596
bad experience,6,4,1.3877261313464695
came table,6,4,1.3877261313464695
order food,7,5,1.3389359671770373
let know,9,7,1.2743974460394671
every single,5,4,1.2335754515192114
food order,5,4,1.2335754515192114
bbq joint,5,4,1.2335754515192114
another table,6,5,1.2054045745525146
pretty much,6,6,1.0512538947252574
came around,6,6,1.0512538947252574
like place,7,7,1.0512538947252574
side dish,4,4,1.0512538947252565
short ribs,9,9,1.0512538947252565
don't even,4,4,1.0512538947252565
service ever,4,4,1.0512538947252565
decided give,5,5,1.0512538947252565
place stars,5,5,1.0512538947252565
waited minutes,9,9,1.0512538947252565
first round,4,4,1.0512538947252565
don't know,18,19,0.9999606003377055
long time,11,12,0.9712111870517193
tasted like,7,8,0.9334708590688736
three times,5,6,0.8971032148979994
don't think,5,6,0.8971032148979994
way better,5,6,0.8971032148979994
big deal,5,6,0.8971032148979994
different servers,4,5,0.8689323379313016
place anyone,4,5,0.8689323379313016
whole time,4,5,0.8689323379313016
take order,4,5,0.8689323379313016
look like,4,5,0.8689323379313016
first order,4,5,0.8689323379313016
food never,4,5,0.8689323379313016
spring mountain,5,7,0.7635718222734766
time came,4,6,0.7147816581040445
didn't want,4,6,0.7147816581040445
much better,11,16,0.7029472004570403
last time,8,12,0.6835291145999385
came dinner,3,5,0.645788786617091
last visit,3,5,0.645788786617091
chicken beef,3,5,0.645788786617091
price dinner,3,5,0.645788786617091
time service,3,5,0.645788786617091
wait times,3,5,0.645788786617091
stars food,3,5,0.645788786617091
bring food,3,5,0.645788786617091
give place,6,10,0.5992687709822002
right next,4,7,0.5812502654795217
first experience,4,7,0.5812502654795217
meat quality,7,12,0.5657460789435556
cook food,6,11,0.5122573939925692
place looks,3,6,0.4916381067898339
text table,3,6,0.4916381067898339
wait seated,3,6,0.4916381067898339
traditional korean,3,6,0.4916381067898339
new korean,3,6,0.4916381067898339
honey pig,3,6,0.4916381067898339
asked wanted,3,6,0.4916381067898339
server took,3,6,0.4916381067898339
good things,4,8,0.4634672298231379
korean food,10,19,0.4534168939696359
wait staff,8,16,0.4152651280052595
customer service,37,74,0.3713519409153321
try place,6,13,0.35810671416531203
spicy tofu,4,9,0.35810671416531115
good server,3,7,0.35810671416531115
tofu hut,8,17,0.35810671416531115
looks like,4,9,0.35810671416531115
green tea,5,11,0.35810671416531115
quality good,3,7,0.35810671416531115
looking forward,3,7,0.35810671416531115
place it's,3,7,0.35810671416531115
minutes seated,3,7,0.35810671416531115
anything else,4,9,0.35810671416531115
going back,8,18,0.3040394928950354
didn't like,6,14,0.2891138426783604
garlic chicken,5,12,0.27806400649177476
second time,11,25,0.27806400649177476
minute wait,5,12,0.27806400649177476
dinner price,4,10,0.26279653436098727
dipping sauce,4,10,0.26279653436098727
multiple times,4,10,0.26279653436098727
give stars,3,8,0.24032367850892733
i've heard,3,8,0.24032367850892733
food quality,6,15,0.2245753215407893
around mall,2,6,0.20395603433805398
like gen,2,6,0.20395603433805398
place henderson,2,6,0.20395603433805398
it's like,2,6,0.20395603433805398
min wait,2,6,0.20395603433805398
appetizers good,2,6,0.20395603433805398
explained menu,2,6,0.20395603433805398
don't eat,2,6,0.20395603433805398
it's hard,2,6,0.20395603433805398
dishes already,2,6,0.20395603433805398
wide selection,2,6,0.20395603433805398
ayce bbq,2,6,0.20395603433805398
food atmosphere,2,6,0.20395603433805398
food come,2,6,0.20395603433805398
across town,2,6,0.20395603433805398
place food,5,13,0.20395603433805398
amount food,2,6,0.20395603433805398
wanted order,2,6,0.20395603433805398
wanted try,5,13,0.20395603433805398
wasn't bad,2,6,0.20395603433805398
good deal,2,6,0.20395603433805398
love korean,4,11,0.17578515737135625
quality meat,10,26,0.1533123015192981
tofu soup,7,19,0.13496316285110144
table ready,7,19,0.13496316285110144
it's ayce,3,9,0.13496316285110055
steamed egg,3,9,0.13496316285110055
lunch time,3,9,0.13496316285110055
bbq places,12,33,0.08984272757063128
first opened,2,7,0.07042464171353124
i've never,2,7,0.07042464171353124
cook meat,2,7,0.07042464171353124
cuts meat,2,7,0.07042464171353124
place like,2,7,0.07042464171353124
i've gen,2,7,0.07042464171353124
long food,2,7,0.07042464171353124
per order,2,7,0.07042464171353124
eat meat,2,7,0.07042464171353124
service even,2,7,0.07042464171353124
already table,2,7,0.07042464171353124
authentic korean,2,7,0.07042464171353124
service food,9,26,0.05800212171497332
small portions,3,10,0.03965298304677667
menu items,3,10,0.03965298304677667
gen chadol,3,10,0.03965298304677667
good job,3,10,0.03965298304677667
place try,3,10,0.03965298304677667
time come,5,16,0.00980001989709578
good quality,5,16,0.00980001989709578
little bit,5,16,0.00980001989709578
i'm sure,5,16,0.00980001989709578
i've ever,5,16,0.00980001989709578
korean restaurant,4,14,-0.04735839394285257
marinated meats,2,8,-0.04735839394285257
bbq i've,2,8,-0.04735839394285257
places vegas,2,8,-0.04735839394285257
it's located,2,8,-0.04735839394285257
try new,2,8,-0.04735839394285257
many times,4,14,-0.04735839394285257
grill changed,2,8,-0.04735839394285257
price lunch,2,8,-0.04735839394285257
came lunch,2,8,-0.04735839394285257
wait minutes,4,14,-0.04735839394285257
we'll back,2,8,-0.04735839394285257
take care,2,8,-0.04735839394285257
grill change,2,8,-0.04735839394285257
pretty quick,2,8,-0.04735839394285257
took time,2,8,-0.04735839394285257
time korean,2,8,-0.04735839394285257
gen first,2,8,-0.04735839394285257
time trying,2,8,-0.04735839394285257
eat ayce,2,8,-0.04735839394285257
side town,3,11,-0.04735839394285435
food pretty,3,11,-0.04735839394285435
miso soup,3,11,-0.04735839394285435
beef bulgogi,10,33,-0.07721135709253435
food good,18,58,-0.0818445700140229
meat good,4,15,-0.11189691508042365
service good,8,28,-0.11881735792499803
food came,8,28,-0.11881735792499803
within minutes,3,12,-0.12740110161639073
long wait,3,12,-0.12740110161639073
first visit,3,12,-0.12740110161639073
glass noodles,3,12,-0.12740110161639073
korean restaurants,2,9,-0.15271890960067935
quality service,2,9,-0.15271890960067935
came quickly,2,9,-0.15271890960067935
taking care,2,9,-0.15271890960067935
changing grill,2,9,-0.15271890960067935
kfc chicken,3,13,-0.2015090737701115
staff friendly,4,17,-0.22967995073680747
love food,2,10,-0.24802908940500323
variety meats,2,10,-0.24802908940500323
server nice,2,10,-0.24802908940500323
signature steak,2,10,-0.24802908940500323
items menu,2,10,-0.24802908940500323
time food,2,10,-0.24802908940500323
cooking food,2,10,-0.24802908940500323
happy hour,5,21,-0.24802908940500412
server julian,3,14,-0.27050194525706317
china town,4,18,-0.2837471720070832
sesame chicken,4,18,-0.2837471720070832
spicy pork,10,41,-0.28852045075974075
last night,5,22,-0.29248085197583773
kbbq place,6,26,-0.2986728222237591
even though,8,34,-0.3068695894279383
best ayce,1,7,-0.33504046639463425
gen beef,1,7,-0.33504046639463425
bbq restaurants,2,11,-0.33504046639463425
per person,3,15,-0.33504046639463425
bulgogi spicy,1,7,-0.33504046639463425
much food,1,7,-0.33504046639463425
food fast,1,7,-0.33504046639463425
fried squid,2,11,-0.33504046639463425
service atmosphere,1,7,-0.33504046639463425
brisket pork,1,7,-0.33504046639463425
it's eat,2,11,-0.33504046639463425
henderson area,1,7,-0.33504046639463425
worth price,1,7,-0.33504046639463425
experience food,1,7,-0.33504046639463425
food tasty,1,7,-0.33504046639463425
great definitely,1,7,-0.33504046639463425
meats fresh,1,7,-0.33504046639463425
much want,1,7,-0.33504046639463425
spicy octopus,1,7,-0.33504046639463425
isn't bad,1,7,-0.33504046639463425
times i've,1,7,-0.33504046639463425
awesome experience,1,7,-0.33504046639463425
saturday night,1,7,-0.33504046639463425
next time,6,28,-0.3701317862059037
ayce korean,7,33,-0.3956650882110688
seaweed salad,3,16,-0.3956650882110697
several times,3,16,-0.3956650882110697
lunch special,2,12,-0.41508317406817063
macaron ice,2,12,-0.41508317406817063
good place,2,12,-0.41508317406817063
side dishes,16,73,-0.4195978544226975
wait time,4,21,-0.430350646198959
dining experience,6,30,-0.4368231607045763
meat great,1,8,-0.45282350205101807
recommend anyone,1,8,-0.45282350205101807
always checking,1,8,-0.45282350205101807
places like,1,8,-0.45282350205101807
gen great,1,8,-0.45282350205101807
great quality,1,8,-0.45282350205101807
server i've,1,8,-0.45282350205101807
ban chan,1,8,-0.45282350205101807
bean sprouts,1,8,-0.45282350205101807
love coming,1,8,-0.45282350205101807
like food,1,8,-0.45282350205101807
order much,1,8,-0.45282350205101807
time gen,3,17,-0.45282350205101807
southern california,1,8,-0.45282350205101807
visit gen,1,8,-0.45282350205101807
made feel,1,8,-0.45282350205101807
minutes table,1,8,-0.45282350205101807
everything else,1,8,-0.45282350205101807
fast service,3,17,-0.45282350205101807
change grill,3,17,-0.45282350205101807
nice place,1,8,-0.45282350205101807
attentive made,1,8,-0.45282350205101807
wait long,4,22,-0.4748024087697926
favorite kbbq,2,13,-0.4891911462218914
time eating,2,13,-0.4891911462218914
it's worth,2,13,-0.4891911462218914
good time,2,13,-0.4891911462218914
hour wait,2,13,-0.4891911462218914
friends family,3,18,-0.5068907233212938
come back,23,116,-0.5328662097245545
bbq house,2,14,-0.5581840177088431
place pretty,1,9,-0.5581840177088448
marinated beef,1,9,-0.5581840177088448
vegas it's,1,9,-0.5581840177088448
friendly staff,1,9,-0.5581840177088448
service point,1,9,-0.5581840177088448
love gen,1,9,-0.5581840177088448
best service,1,9,-0.5581840177088448
decided try,1,9,-0.5581840177088448
provided great,1,9,-0.5581840177088448
great meal,1,9,-0.5581840177088448
time around,1,9,-0.5581840177088448
gen bbq,1,9,-0.5581840177088448
service quality,1,9,-0.5581840177088448
dinner time,1,9,-0.5581840177088448
eat kbbq,1,9,-0.5581840177088448
changed grill,1,9,-0.5581840177088448
date night,1,9,-0.5581840177088448
almost every,1,9,-0.5581840177088448
take reservations,1,9,-0.5581840177088448
quality food,4,25,-0.5974047308621246
sesame oil,2,15,-0.6227225388464142
crispy squid,1,10,-0.6534941975131687
meat fresh,1,10,-0.6534941975131687
totally worth,1,10,-0.6534941975131687
attentive friendly,1,10,-0.6534941975131687
recommend friends,1,10,-0.6534941975131687
grand opening,1,10,-0.6534941975131687
couple times,1,10,-0.6534941975131687
beef belly,1,10,-0.6534941975131687
chicken bulgogi,1,10,-0.6534941975131687
it's good,3,21,-0.6534941975131696
roast beef,3,21,-0.6534941975131696
good service,6,38,-0.6663976023490763
kbbq places,4,27,-0.6715127030158472
pork cutlet,2,16,-0.6833471606628496
gen kbbq,2,17,-0.740505574502798
potato salad,2,17,-0.740505574502798
rice paper,8,53,-0.7405055745027989
think it's,1,11,-0.7405055745027997
short plate,1,11,-0.7405055745027997
great servers,1,11,-0.7405055745027997
timely manner,1,11,-0.7405055745027997
good korean,1,11,-0.7405055745027997
kbbq vegas,1,11,-0.7405055745027997
miso pork,1,11,-0.7405055745027997
friendly attentive,1,11,-0.7405055745027997
time definitely,1,11,-0.7405055745027997
korean bbq,62,387,-0.7666167185064845
every time,4,30,-0.7732953973257892
service always,2,18,-0.7945727957730737
right away,2,18,-0.7945727957730737
first time,21,140,-0.8064635422945958
premium steak,3,25,-0.8205482821763352
bulgogi beef,1,12,-0.8205482821763361
place definitely,1,12,-0.8205482821763361
always good,1,12,-0.8205482821763361
quality meats,2,19,-0.8458660901606248
taken care,1,13,-0.8946562543300569
spicy chicken,1,13,-0.8946562543300569
ayce dinner,1,13,-0.8946562543300569
top notch,1,13,-0.8946562543300569
food always,1,13,-0.8946562543300569
great customer,3,28,-0.9297475741413272
feel like,2,21,-0.9411762699649495
beef tongue,8,65,-0.9411762699649504
favorite korean,1,14,-0.9636491258170086
bbq place,6,52,-0.9731278697715524
squid legs,2,22,-0.9856280325357831
place good,2,22,-0.9856280325357831
make sure,6,53,-0.9918200027837045
galleria mall,5,46,-1.0071342377567465
pretty good,5,46,-1.0071342377567465
recommend place,5,47,-1.0281876469545788
felt like,1,15,-1.0281876469545796
brisket beef,1,15,-1.0281876469545796
made experience,2,24,-1.0690096414748345
experience gen,1,16,-1.0888122687710151
kbbq spot,1,16,-1.0888122687710151
needed anything,1,16,-1.0888122687710151
excellent food,1,16,-1.0888122687710151
good food,4,43,-1.1234978267589044
beef brisket,2,26,-1.1459706826109626
places town,0,8,-1.1459706826109635
server super,0,8,-1.1459706826109635
coming gen,0,8,-1.1459706826109635
price eat,0,8,-1.1459706826109635
price ayce,0,8,-1.1459706826109635
nice food,0,8,-1.1459706826109635
seated right,0,8,-1.1459706826109635
different meats,0,8,-1.1459706826109635
dinner lunch,0,8,-1.1459706826109635
great value,0,8,-1.1459706826109635
everything delicious,0,8,-1.1459706826109635
made great,0,8,-1.1459706826109635
fun experience,0,8,-1.1459706826109635
awesome definitely,0,8,-1.1459706826109635
wonderful experience,0,8,-1.1459706826109635
bbq henderson,0,8,-1.1459706826109635
jap chae,1,17,-1.1459706826109635
staff nice,0,8,-1.1459706826109635
excellent customer,0,8,-1.1459706826109635
alodia great,0,8,-1.1459706826109635
great care,0,8,-1.1459706826109635
super nice,1,17,-1.1459706826109635
vegas area,0,8,-1.1459706826109635
included ayce,0,8,-1.1459706826109635
great appetizers,0,8,-1.1459706826109635
food fantastic,0,8,-1.1459706826109635
i'll definitely,0,8,-1.1459706826109635
something new,0,8,-1.1459706826109635
bbq vegas,0,8,-1.1459706826109635
gave great,0,8,-1.1459706826109635
good meat,0,8,-1.1459706826109635
place eat,1,17,-1.1459706826109635
favorite place,0,8,-1.1459706826109635
awesome great,0,8,-1.1459706826109635
hawaiian steak,0,8,-1.1459706826109635
food drinks,0,8,-1.1459706826109635
price good,0,8,-1.1459706826109635
service fantastic,0,8,-1.1459706826109635
come eat,0,8,-1.1459706826109635
smell like,0,8,-1.1459706826109635
meat seafood,0,8,-1.1459706826109635
gen korean,4,45,-1.167949589329738
server jaenica,1,18,-1.2000379038812392
best kbbq,1,18,-1.2000379038812392
sure everything,1,18,-1.2000379038812392
great experience,2,29,-1.2513311982687894
nice helpful,0,9,-1.2513311982687902
rice cakes,0,9,-1.2513311982687902
you're looking,0,9,-1.2513311982687902
spicy baby,0,9,-1.2513311982687902
highly recommended,0,9,-1.2513311982687902
worth wait,0,9,-1.2513311982687902
marinated premium,0,9,-1.2513311982687902
good ayce,0,9,-1.2513311982687902
server eugene,0,9,-1.2513311982687902
probably best,0,9,-1.2513311982687902
atmosphere restaurant,0,9,-1.2513311982687902
back food,0,9,-1.2513311982687902
vegas gen,0,9,-1.2513311982687902
sure taken,0,9,-1.2513311982687902
great attentive,0,9,-1.2513311982687902
good care,0,9,-1.2513311982687902
best part,0,9,-1.2513311982687902
back next,0,9,-1.2513311982687902
large selection,0,9,-1.2513311982687902
great always,0,9,-1.2513311982687902
yogurt soju,0,9,-1.2513311982687902
thank ozzy,0,9,-1.2513311982687902
let tell,0,9,-1.2513311982687902
i've tried,0,9,-1.2513311982687902
waitress jaenica,0,9,-1.2513311982687902
reasonable price,0,9,-1.2513311982687902
say place,0,9,-1.2513311982687902
pork belly,15,160,-1.257561748019425
popcorn shrimp,1,20,-1.3001213624382224
attentive always,0,10,-1.3466413780731141
delicious service,0,10,-1.3466413780731141
waiter ozzy,0,10,-1.3466413780731141
wait come,0,10,-1.3466413780731141
chicken pork,0,10,-1.3466413780731141
came fast,0,10,-1.3466413780731141
food fresh,0,10,-1.3466413780731141
everything needed,0,10,-1.3466413780731141
bbq spot,0,10,-1.3466413780731141
service fast,0,10,-1.3466413780731141
worth drive,0,10,-1.3466413780731141
place nice,0,10,-1.3466413780731141
beef short,0,10,-1.3466413780731141
always checked,0,10,-1.3466413780731141
great selection,0,10,-1.3466413780731141
overall great,0,10,-1.3466413780731141
great recommendations,0,10,-1.3466413780731141
excellent server,0,10,-1.3466413780731141
staff great,0,10,-1.3466413780731141
awesome service,1,22,-1.3910931406439486
ayce kbbq,2,35,-1.4336527550627434
ice cream,2,35,-1.4336527550627434
amazing service,1,23,-1.4336527550627451
must say,0,11,-1.4336527550627451
beef pork,0,11,-1.4336527550627451
i'm glad,0,11,-1.4336527550627451
belly beef,0,11,-1.4336527550627451
delicious food,0,11,-1.4336527550627451
bbq las,0,11,-1.4336527550627451
ozzy best,0,11,-1.4336527550627451
back sure,0,11,-1.4336527550627451
place clean,0,11,-1.4336527550627451
service pretty,0,11,-1.4336527550627451
great time,1,23,-1.4336527550627451
never wait,0,11,-1.4336527550627451
server great,0,11,-1.4336527550627451
super friendly,1,23,-1.4336527550627451
richard richard,0,11,-1.4336527550627451
smelling like,0,11,-1.4336527550627451
bbq restaurant,1,23,-1.4336527550627451
alodia amazing,0,11,-1.4336527550627451
making sure,1,23,-1.4336527550627451
great atmosphere,0,11,-1.4336527550627451
like kbbq,0,11,-1.4336527550627451
back soon,1,23,-1.4336527550627451
food great,8,112,-1.4789093466508652
service great,6,87,-1.4801727706976369
eat korean,2,37,-1.4877199763330191
service server,0,12,-1.5136954627362815
new favorite,0,12,-1.5136954627362815
meats appetizers,0,12,-1.5136954627362815
server attentive,0,12,-1.5136954627362815
staff attentive,0,12,-1.5136954627362815
awesome food,0,12,-1.5136954627362815
server kailin,0,12,-1.5136954627362815
great great,0,12,-1.5136954627362815
coming back,4,67,-1.55881589801675
dinner menu,0,13,-1.5878034348900023
server terry,0,13,-1.5878034348900023
friday night,0,13,-1.5878034348900023
definitely worth,0,13,-1.5878034348900023
awesome server,0,13,-1.5878034348900023
ayce menu,0,13,-1.5878034348900023
service excellent,1,27,-1.5878034348900032
made sure,2,43,-1.634323450524895
spicy rice,0,14,-1.656796306376954
server lisa,0,14,-1.656796306376954
amazing experience,0,14,-1.656796306376954
friendly helpful,0,14,-1.656796306376954
good well,0,14,-1.656796306376954
place amazing,0,14,-1.656796306376954
price great,0,14,-1.656796306376954
smoked garlic,0,14,-1.656796306376954
ayce lunch,0,15,-1.721334827514525
service amazing,0,15,-1.721334827514525
ozzy great,0,15,-1.721334827514525
alodia server,0,15,-1.721334827514525
service definitely,0,15,-1.721334827514525
experience great,0,15,-1.721334827514525
selection meats,0,15,-1.721334827514525
amazing server,0,15,-1.721334827514525
service awesome,0,15,-1.721334827514525
definitely going,0,15,-1.721334827514525
cajun shrimp,1,31,-1.721334827514526
las vegas,4,83,-1.7701249916839563
rice cake,0,16,-1.7819594493309605
everything menu,0,16,-1.7819594493309605
food awesome,0,16,-1.7819594493309605
good price,0,16,-1.7819594493309605
it's great,0,16,-1.7819594493309605
well worth,0,16,-1.7819594493309605
excellent service,1,34,-1.810946986204213
like korean,0,17,-1.8391178631709089
appetizers included,0,17,-1.8391178631709089
food excellent,0,17,-1.8391178631709089
amazing food,0,17,-1.8391178631709089
took care,0,17,-1.8391178631709089
server yuhao,0,17,-1.8391178631709089
must try,0,17,-1.8391178631709089
great place,1,35,-1.8391178631709089
great food,4,91,-1.8610967698896834
best korean,2,56,-1.8931850844411837
place awesome,0,18,-1.8931850844411846
can't beat,0,18,-1.8931850844411846
always great,0,18,-1.8931850844411846
marinated steak,0,18,-1.8931850844411846
love place,1,39,-1.9444783788287356
lunch dinner,1,39,-1.9444783788287356
great service,5,121,-1.9610076807799448
baby octopus,0,20,-1.9932685429981678
ozzy server,0,20,-1.9932685429981678
garlic pork,0,21,-2.0397885586330604
food service,1,44,-2.0622614144851186
even better,0,22,-2.084240321203894
can't wait,0,22,-2.084240321203894
highly recommend,1,45,-2.084240321203894
far best,0,22,-2.084240321203894
food delicious,1,46,-2.1057465264248574
korean fried,0,23,-2.1267999356226905
great job,0,25,-2.206842643296226
wine pork,0,26,-2.2445829712790735
definitely come,1,58,-2.3331363686205187
best server,0,29,-2.3499434869369002
pork bulgogi,0,29,-2.3499434869369002
great price,0,30,-2.3827333097598906
server ozzy,0,31,-2.4144820080744713
server alodia,0,32,-2.445253666741225
fried chicken,0,33,-2.475106629890906
red wine,0,35,-2.5322650437308543
place great,0,37,-2.58633226500113
food amazing,0,37,-2.58633226500113
great server,0,38,-2.6123077514043906
definitely coming,0,40,-2.6623181719790523
definitely back,0,44,-2.755408595045064
definitely recommend,0,48,-2.8405664033853713
ozzy ozzy,0,147,-3.94595837903886
