hr,Mon,Tue,Wed,Thu,Fri,Sat,Sun
0,1.0,3.0,1.0,1.0,3.0,3.0,1.0
1,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2.0,0.0,0.0,0.0,0.0,1.0,0.0
7,0.0,0.0,0.0,0.0,2.0,0.0,0.0
8,2.0,0.0,1.0,4.0,1.0,0.0,0.0
9,1.0,6.0,1.0,1.0,0.0,3.0,1.0
10,11.0,9.0,11.0,10.0,16.0,19.0,7.0
11,25.0,25.0,18.0,21.0,25.0,22.0,31.0
12,35.0,27.0,16.0,23.0,38.0,37.0,66.0
13,35.0,30.0,27.0,28.0,35.0,49.0,55.0
14,26.0,22.0,16.0,22.0,23.0,30.0,31.0
15,23.0,27.0,25.0,20.0,22.0,45.0,42.0
16,23.0,24.0,17.0,31.0,38.0,56.0,50.0
17,50.0,41.0,42.0,41.0,64.0,62.0,55.0
18,61.0,48.0,59.0,55.0,92.0,71.0,84.0
19,74.0,61.0,60.0,51.0,97.0,87.0,56.0
20,45.0,38.0,37.0,38.0,64.0,61.0,45.0
21,29.0,27.0,30.0,25.0,44.0,45.0,22.0
22,18.0,19.0,12.0,11.0,35.0,21.0,10.0
23,4.0,0.0,3.0,3.0,4.0,9.0,7.0
